target_ip,target_geo_country
18.141.43.183,SG
104.69.107.45,SG
184.31.4.207,SG
17.248.154.5,SG
17.248.154.22,SG
116.87.189.216,SG
17.248.154.39,SG
17.248.164.102,SG
17.253.61.203,SG
103.231.98.196,SG
124.155.222.26,SG
13.33.33.51,SG
54.192.150.13,SG
13.33.100.132,SG
91.108.56.173,SG
52.76.163.242,SG
180.87.173.16,SG
103.155.16.178,SG
103.207.108.98,SG
157.240.7.16,SG
169.150.243.3,SG
52.139.250.209,SG
13.227.254.102,SG
157.240.15.63,SG
46.51.219.70,SG
106.10.186.200,SG
159.138.91.5,SG
119.74.176.84,SG
13.33.33.6,SG
144.126.242.176,SG
104.69.96.220,SG
23.195.121.150,SG
157.240.7.6,SG
13.215.82.183,SG
143.244.33.161,SG
18.136.42.214,SG
46.137.229.114,SG
125.56.199.43,SG
23.210.250.82,SG
184.31.4.201,SG
52.221.15.231,SG
125.56.199.9,SG
13.33.33.60,SG
23.47.190.123,SG
203.116.175.115,SG
17.248.164.198,SG
194.233.94.209,SG
52.98.65.2,SG
52.84.251.97,SG
52.84.251.74,SG
43.132.80.22,SG
23.15.98.69,SG
54.255.26.7,SG
13.33.100.129,SG
13.33.79.144,SG
89.187.163.131,SG
52.84.251.60,SG
157.240.7.20,SG
13.33.33.118,SG
52.77.158.91,SG
125.252.229.70,SG
23.36.252.240,SG
52.84.251.64,SG
156.59.151.17,SG
13.33.33.91,SG
72.247.81.88,SG
8.218.46.10,SG
159.138.85.193,SG
51.79.223.21,SG
17.248.164.11,SG
151.192.83.68,SG
202.156.3.37,SG
13.33.88.19,SG
161.117.125.94,SG
69.173.158.68,SG
157.240.13.175,SG
54.192.150.11,SG
91.108.56.122,SG
23.200.24.27,SG
54.251.222.189,SG
52.98.70.130,SG
203.116.175.152,SG
43.156.222.154,SG
124.155.222.58,SG
103.252.202.183,SG
184.31.5.103,SG
103.136.220.205,SG
157.240.7.20,SG
23.205.209.126,SG
119.13.160.160,SG
89.187.162.134,SG
23.205.209.74,SG
111.223.64.51,SG
157.240.15.61,SG
13.35.13.83,SG
40.99.10.34,SG
101.33.26.196,SG
188.42.147.158,SG
23.52.171.154,SG
86.48.10.115,SG
184.28.53.99,SG
203.116.175.136,SG
43.132.80.26,SG
157.240.13.14,SG
134.238.32.89,SG
13.35.18.21,SG
52.84.251.63,SG
157.240.7.33,SG
51.79.204.178,SG
23.44.4.26,SG
202.65.240.210,SG
54.192.150.84,SG
23.59.80.67,SG
23.200.24.99,SG
52.84.251.104,SG
13.33.28.218,SG
156.146.57.46,SG
17.248.154.10,SG
13.33.33.72,SG
84.247.49.210,SG
107.155.23.10,SG
124.155.222.40,SG
103.28.54.162,SG
17.248.164.104,SG
104.65.229.48,SG
101.33.26.180,SG
13.33.78.115,SG
23.54.56.210,SG
52.74.138.239,SG
54.192.150.59,SG
111.223.64.57,SG
51.79.223.17,SG
104.28.156.111,SG
47.241.41.246,SG
17.253.61.204,SG
20.157.117.5,SG
209.85.228.10,SG
101.33.26.226,SG
23.61.0.95,SG
125.252.229.208,SG
51.79.206.66,SG
18.136.178.185,SG
43.132.81.121,SG
157.240.13.33,SG
103.6.151.227,SG
23.54.56.132,SG
13.33.33.95,SG
51.79.166.235,SG
157.240.15.52,SG
74.125.171.10,SG
23.49.60.136,SG
104.103.150.205,SG
43.156.223.191,SG
173.194.51.102,SG
17.248.154.52,SG
52.74.200.0,SG
202.165.107.53,SG
13.251.171.38,SG
157.240.15.34,SG
23.58.140.25,SG
23.54.58.69,SG
3.1.172.253,SG
52.98.71.210,SG
43.132.81.184,SG
13.229.19.162,SG
96.17.72.40,SG
23.5.165.51,SG
23.200.24.90,SG
13.33.28.151,SG
23.50.94.75,SG
18.140.28.233,SG
138.113.125.14,SG
13.214.91.161,SG
23.44.0.126,SG
116.86.140.226,SG
203.116.188.216,SG
23.212.92.24,SG
43.152.143.228,SG
103.155.16.130,SG
89.187.162.142,SG
125.56.199.98,SG
157.240.13.175,SG
52.123.252.34,SG
51.79.167.114,SG
51.79.204.61,SG
43.132.73.53,SG
17.248.164.77,SG
54.192.150.17,SG
111.223.64.91,SG
111.223.64.51,SG
139.99.68.6,SG
13.33.28.61,SG
52.114.15.111,SG
210.10.5.13,SG
52.220.83.205,SG
142.251.91.102,SG
17.253.61.198,SG
8.212.12.137,SG
184.87.202.204,SG
20.43.132.130,SG
18.136.234.192,SG
13.33.91.132,SG
52.84.251.98,SG
17.248.164.15,SG
184.26.21.9,SG
52.84.251.40,SG
165.21.6.79,SG
101.33.26.138,SG
18.140.218.3,SG
13.33.88.4,SG
150.109.91.98,SG
52.84.251.93,SG
40.99.10.18,SG
13.227.254.124,SG
114.119.180.179,SG
103.115.76.67,SG
157.240.7.170,SG
52.84.225.192,SG
157.240.235.19,SG
23.47.190.193,SG
101.32.104.104,SG
129.227.82.151,SG
23.50.232.243,SG
89.187.163.119,SG
23.45.116.67,SG
13.33.88.62,SG
157.240.15.37,SG
17.248.164.113,SG
17.253.61.218,SG
13.228.107.3,SG
23.59.80.121,SG
17.253.61.219,SG
18.141.245.52,SG
173.194.59.42,SG
52.119.187.64,SG
219.74.135.239,SG
20.198.162.76,SG
150.109.91.9,SG
52.220.149.37,SG
104.69.45.249,SG
104.70.101.54,SG
52.163.231.110,SG
129.227.82.185,SG
157.240.235.35,SG
52.128.22.202,SG
125.56.199.16,SG
49.245.110.44,SG
52.84.225.185,SG
13.33.33.5,SG
13.33.33.76,SG
104.65.229.95,SG
23.211.140.105,SG
54.179.5.120,SG
17.248.154.47,SG
51.79.144.149,SG
13.228.166.121,SG
91.108.56.194,SG
150.109.91.57,SG
13.33.79.24,SG
143.244.33.176,SG
138.75.100.175,SG
89.187.163.135,SG
52.221.128.40,SG
101.33.27.55,SG
13.33.88.49,SG
49.245.62.228,SG
103.167.26.35,SG
20.197.107.0,SG
202.166.127.86,SG
101.33.26.253,SG
101.100.211.131,SG
47.88.251.182,SG
188.42.147.139,SG
18.136.245.210,SG
52.84.251.75,SG
52.76.114.16,SG
13.33.88.27,SG
13.33.88.92,SG
13.251.179.112,SG
103.252.202.87,SG
149.34.253.147,SG
17.248.154.24,SG
52.84.228.201,SG
218.212.62.147,SG
13.213.86.215,SG
17.253.61.195,SG
52.84.251.82,SG
13.33.28.71,SG
17.248.164.76,SG
54.179.136.53,SG
23.46.16.206,SG
129.227.66.66,SG
51.79.166.196,SG
142.251.91.103,SG
101.32.104.104,SG
13.227.254.98,SG
51.79.164.252,SG
69.173.158.67,SG
49.0.204.153,SG
203.116.175.112,SG
23.49.60.200,SG
23.59.168.75,SG
165.21.83.88,SG
23.5.165.147,SG
117.121.250.189,SG
13.33.88.20,SG
106.10.247.0,SG
54.169.187.222,SG
17.248.164.39,SG
111.223.64.67,SG
8.219.209.36,SG
116.0.81.226,SG
103.1.138.196,SG
51.79.166.77,SG
13.251.177.192,SG
51.79.207.122,SG
42.60.162.105,SG
52.221.75.5,SG
13.33.33.7,SG
51.79.241.32,SG
143.92.116.159,SG
104.89.122.4,SG
54.192.150.86,SG
67.199.150.85,SG
52.220.167.100,SG
184.87.193.74,SG
52.98.90.2,SG
42.60.162.105,SG
23.50.82.98,SG
13.227.254.40,SG
23.200.29.68,SG
23.40.32.206,SG
17.248.154.18,SG
104.70.103.233,SG
17.248.154.12,SG
13.33.33.40,SG
101.33.27.26,SG
47.246.58.211,SG
54.151.177.200,SG
104.69.36.120,SG
18.141.61.240,SG
20.190.163.18,SG
23.210.250.147,SG
51.79.147.148,SG
13.33.100.113,SG
118.215.87.103,SG
3.0.71.181,SG
3.0.114.63,SG
13.227.254.127,SG
43.156.10.157,SG
23.108.101.160,SG
184.31.4.239,SG
203.117.89.32,SG
13.227.254.80,SG
23.199.241.249,SG
23.106.249.200,SG
52.221.48.28,SG
54.192.150.129,SG
101.33.26.117,SG
13.251.133.111,SG
203.205.155.79,SG
156.146.56.89,SG
132.147.114.72,SG
104.103.146.82,SG
101.33.27.9,SG
129.226.2.109,SG
23.195.121.65,SG
173.194.22.40,SG
118.200.43.119,SG
23.47.190.82,SG
184.31.5.52,SG
23.200.24.50,SG
121.7.52.95,SG
111.223.64.18,SG
129.226.3.42,SG
42.61.136.253,SG
17.248.154.20,SG
17.248.154.9,SG
104.69.46.40,SG
121.6.48.26,SG
103.229.205.242,SG
52.76.244.101,SG
156.59.238.4,SG
142.251.88.74,SG
163.171.211.51,SG
106.10.236.40,SG
172.224.26.143,SG
51.79.223.25,SG
101.32.107.74,SG
17.248.164.103,SG
101.33.26.119,SG
23.106.127.165,SG
172.217.194.138,SG
13.33.88.55,SG
69.192.164.22,SG
54.251.250.140,SG
142.251.85.72,SG
203.117.18.46,SG
104.69.33.114,SG
17.248.164.37,SG
23.205.209.57,SG
23.50.83.83,SG
111.223.64.75,SG
101.32.104.177,SG
104.69.100.156,SG
46.137.248.174,SG
13.35.19.109,SG
162.62.163.70,SG
40.126.35.144,SG
74.125.200.109,SG
18.142.190.135,SG
23.49.60.192,SG
17.253.61.206,SG
101.33.26.134,SG
13.227.250.146,SG
34.101.114.154,SG
116.14.138.181,SG
116.87.65.66,SG
125.56.199.17,SG
203.116.175.106,SG
43.132.80.26,SG
13.33.88.71,SG
150.109.90.100,SG
203.116.175.25,SG
203.116.175.81,SG
203.116.175.137,SG
17.253.61.215,SG
23.52.112.60,SG
43.132.80.51,SG
202.166.20.198,SG
172.217.194.136,SG
111.223.64.64,SG
143.244.33.174,SG
54.254.189.209,SG
13.33.33.78,SG
23.36.49.120,SG
157.240.13.128,SG
13.33.33.114,SG
13.33.88.79,SG
111.223.64.82,SG
40.90.184.82,SG
18.136.43.67,SG
104.70.102.14,SG
23.50.81.2,SG
203.116.175.114,SG
17.248.164.5,SG
103.167.26.35,SG
13.67.9.11,SG
13.228.147.133,SG
13.227.254.117,SG
43.156.222.165,SG
23.195.120.25,SG
51.79.223.22,SG
23.200.29.38,SG
51.79.164.73,SG
51.79.206.200,SG
18.136.57.60,SG
43.251.165.106,SG
184.27.123.152,SG
18.138.88.59,SG
13.35.18.222,SG
52.76.229.186,SG
23.36.49.151,SG
104.88.70.26,SG
118.215.84.97,SG
142.251.85.135,SG
203.118.0.108,SG
23.205.208.208,SG
122.11.128.50,SG
111.223.64.40,SG
184.31.5.164,SG
54.251.80.34,SG
23.52.112.115,SG
104.65.229.103,SG
104.69.97.141,SG
84.17.39.179,SG
23.195.120.232,SG
116.88.228.102,SG
17.253.61.195,SG
13.33.88.94,SG
203.205.155.101,SG
142.251.88.72,SG
45.60.83.25,SG
43.132.80.53,SG
17.248.164.6,SG
43.134.115.101,SG
101.33.26.135,SG
69.192.165.195,SG
111.223.64.41,SG
51.79.205.120,SG
74.125.171.71,SG
52.84.251.115,SG
23.205.208.62,SG
52.76.39.148,SG
42.60.155.156,SG
199.184.145.161,SG
40.99.10.98,SG
184.87.193.86,SG
104.69.44.74,SG
202.156.3.37,SG
23.59.168.42,SG
31.13.68.52,SG
157.240.15.57,SG
143.244.33.177,SG
18.136.166.61,SG
54.192.150.106,SG
23.59.80.107,SG
52.220.117.33,SG
139.99.49.250,SG
13.33.33.110,SG
203.126.101.22,SG
17.253.61.219,SG
23.15.147.56,SG
111.223.64.48,SG
40.119.240.74,SG
172.217.194.105,SG
101.32.104.4,SG
203.116.175.43,SG
13.33.88.3,SG
13.33.88.123,SG
52.128.22.96,SG
51.79.204.65,SG
23.58.140.119,SG
52.74.122.170,SG
13.33.33.94,SG
115.66.105.61,SG
129.227.82.150,SG
18.139.27.82,SG
103.252.202.238,SG
89.187.163.213,SG
17.248.164.40,SG
54.192.150.27,SG
17.253.61.213,SG
103.252.202.238,SG
51.79.222.58,SG
184.87.193.79,SG
43.132.80.30,SG
23.45.116.50,SG
101.32.104.4,SG
101.32.110.152,SG
203.116.175.155,SG
13.33.33.92,SG
104.65.229.64,SG
111.223.64.88,SG
157.240.15.10,SG
43.152.143.174,SG
72.247.81.146,SG
13.35.17.211,SG
23.200.24.10,SG
17.248.154.42,SG
51.79.223.31,SG
203.205.159.23,SG
157.240.7.35,SG
13.33.33.126,SG
51.79.207.174,SG
172.217.194.108,SG
52.98.84.82,SG
74.125.130.154,SG
23.59.168.59,SG
156.59.238.32,SG
8.214.75.157,SG
96.17.96.22,SG
103.229.206.240,SG
52.76.222.7,SG
13.33.88.14,SG
13.33.88.64,SG
58.182.130.183,SG
17.248.154.48,SG
23.215.7.74,SG
13.33.88.84,SG
8.214.27.19,SG
43.132.81.47,SG
13.229.245.58,SG
52.77.146.9,SG
23.200.28.48,SG
157.240.235.15,SG
156.146.57.46,SG
210.10.7.13,SG
47.246.58.242,SG
162.62.163.70,SG
52.84.251.120,SG
101.32.104.104,SG
43.132.80.166,SG
23.213.140.216,SG
20.190.163.20,SG
43.132.73.0,SG
52.84.251.41,SG
13.229.193.129,SG
142.251.88.10,SG
54.192.150.125,SG
13.33.88.33,SG
13.33.88.117,SG
18.143.21.177,SG
104.119.104.140,SG
173.222.144.17,SG
54.251.226.84,SG
40.99.10.34,SG
