,ip_address,whois_date,last_analysis_date,reputation,as_owner,country,asn,image,processed_date,target_geo_country,_id,last_analysis_stats.harmless,last_analysis_stats.malicious,last_analysis_stats.suspicious,last_analysis_stats.undetected,last_analysis_stats.timeout,total_votes.harmless,total_votes.malicious
27,103.155.16.178,2023-02-02 02:59:10,2023-02-25 02:21:24,0,Kaopu Cloud HK Limited,SG,138915,,2023-03-01 11:51:37.658733+08:00,SG,63fecbca713e42d63ee6aa65,80,0,0,8,0,0,0
28,103.167.26.35,2023-02-14 01:28:30,2023-02-28 03:26:25,0,JOYO TECHNOLOGY PTE. LTD.,SG,142160,,2023-03-01 11:51:37.658733+08:00,SG,63fecbca713e42d63ee6aa66,87,0,0,0,0,0,0
29,103.207.108.98,2023-01-27 03:01:56,2023-02-14 03:58:02,0,Singapore Pools Private Limited,SG,135048,,2023-03-01 11:51:37.658733+08:00,SG,63fecbca713e42d63ee6aa67,87,0,0,0,0,0,0
30,103.229.205.242,2023-02-02 01:40:48,2023-02-27 00:36:10,0,MEDIAMATH-INC,SG,30419,,2023-03-01 11:51:37.658733+08:00,SG,63fecbca713e42d63ee6aa68,74,0,0,14,0,0,0
31,103.229.206.240,2023-02-15 22:59:41,2023-02-27 00:36:10,0,MEDIAMATH-INC,SG,30419,,2023-03-01 11:51:37.658733+08:00,SG,63fecbca713e42d63ee6aa69,75,0,0,13,0,0,0
32,103.231.98.195,2023-02-20 19:13:35,2023-02-27 00:36:10,0,AS-PUBMATIC,JP,62713,,2023-03-01 11:51:37.658733+08:00,SG,63fecbca713e42d63ee6aa6a,74,0,0,14,0,0,0
33,103.231.98.196,2023-02-23 21:15:30,2023-02-27 00:36:10,0,AS-PUBMATIC,JP,62713,,2023-03-01 11:51:37.658733+08:00,SG,63fecbca713e42d63ee6aa6b,73,0,0,15,0,0,0
34,103.252.202.183,,2022-09-13 19:04:39,0,MyRepublic Ltd.,SG,56300,,2023-03-01 11:51:37.658733+08:00,SG,63fecbca713e42d63ee6aa6c,87,0,0,0,0,0,0
35,103.252.202.238,2019-10-20 05:32:29,2022-09-19 15:24:38,0,MyRepublic Ltd.,SG,56300,,2023-03-01 11:51:37.658733+08:00,SG,63fecbca713e42d63ee6aa6d,87,0,0,0,0,0,0
36,103.252.202.87,2021-07-16 23:07:18,,0,MyRepublic Ltd.,SG,56300,,2023-03-01 11:51:37.658733+08:00,SG,63fecbca713e42d63ee6aa6e,87,0,0,0,0,0,0
37,103.28.54.162,,2023-02-20 00:30:22,0,VALVE-CORPORATION,SG,32590,,2023-03-01 11:51:37.658733+08:00,SG,63fecbca713e42d63ee6aa6f,73,0,0,15,0,0,0
38,103.6.151.227,2019-07-31 22:07:13,,0,MyRepublic Ltd.,SG,56300,,2023-03-01 11:51:37.658733+08:00,SG,63fecbca713e42d63ee6aa70,87,0,0,0,0,0,0
39,104.103.146.82,2020-11-07 03:40:19,,0,AKAMAI-AS,SG,16625,,2023-03-01 11:51:37.658733+08:00,SG,63fecbca713e42d63ee6aa71,87,0,0,0,0,0,0
40,104.103.150.205,2023-02-16 12:39:06,2023-02-16 12:39:01,0,AKAMAI-AS,SG,16625,,2023-03-01 11:51:37.658733+08:00,SG,63fecbca713e42d63ee6aa72,87,0,0,0,0,0,0
41,104.119.104.140,2021-09-15 16:20:19,,0,AKAMAI-AS,SG,16625,,2023-03-01 11:51:37.658733+08:00,SG,63fecbca713e42d63ee6aa73,80,0,0,8,0,0,0
42,104.28.156.111,2019-11-16 23:07:31,,0,CLOUDFLARENET,SG,13335,,2023-03-01 11:51:37.658733+08:00,SG,63fecbca713e42d63ee6aa74,87,0,0,0,0,0,0
43,104.65.229.103,,,0,AKAMAI-AS,SG,16625,,2023-03-01 11:51:37.658733+08:00,SG,63fecbca713e42d63ee6aa75,87,0,0,0,0,0,0
44,104.65.229.48,,2022-09-28 09:55:54,0,AKAMAI-AS,SG,16625,,2023-03-01 11:51:37.658733+08:00,SG,63fecbca713e42d63ee6aa76,79,0,0,9,0,0,0
45,104.65.229.64,,,0,AKAMAI-AS,SG,16625,,2023-03-01 11:51:37.658733+08:00,SG,63fecbca713e42d63ee6aa77,87,0,0,0,0,0,0
46,104.65.229.95,,,0,AKAMAI-AS,SG,16625,,2023-03-01 11:51:37.658733+08:00,SG,63fecbca713e42d63ee6aa78,87,0,0,0,0,0,0
47,104.69.100.156,,2022-10-11 12:45:24,0,AKAMAI-AS,SG,16625,,2023-03-01 11:51:37.658733+08:00,SG,63fecbca713e42d63ee6aa79,78,0,0,10,0,0,0
48,104.69.107.45,,2022-11-30 05:29:15,0,AKAMAI-AS,SG,16625,,2023-03-01 11:51:37.658733+08:00,SG,63fecbca713e42d63ee6aa7a,87,0,0,0,0,0,0
49,104.69.163.60,2021-03-10 19:26:27,,0,AKAMAI-AS,SG,16625,,2023-03-01 11:51:37.658733+08:00,SG,63fecbca713e42d63ee6aa7b,87,0,0,0,0,0,0
50,104.69.163.61,,2023-01-11 11:39:17,0,AKAMAI-AS,SG,16625,,2023-03-01 11:51:37.658733+08:00,SG,63fecbca713e42d63ee6aa7c,87,0,0,0,0,0,0
51,104.69.32.93,,,0,AKAMAI-AS,SG,16625,,2023-03-01 11:51:37.658733+08:00,SG,63fecbca713e42d63ee6aa7d,87,0,0,0,0,0,0
52,104.69.33.114,2023-02-18 12:01:43,2023-02-18 12:01:38,0,AKAMAI-AS,SG,16625,,2023-03-01 11:51:37.658733+08:00,SG,63fecbca713e42d63ee6aa7e,87,0,0,0,0,0,0
53,104.69.36.120,2023-01-12 04:31:05,2023-01-12 04:30:59,0,AKAMAI-AS,SG,16625,,2023-03-01 11:51:37.658733+08:00,SG,63fecbca713e42d63ee6aa7f,75,0,0,13,0,0,0
54,104.69.42.77,2023-01-17 14:57:01,2023-01-17 14:56:56,0,AKAMAI-AS,SG,16625,,2023-03-01 11:51:37.658733+08:00,SG,63fecbca713e42d63ee6aa80,87,0,0,0,0,0,0
55,104.69.44.74,2023-02-26 09:45:17,2023-02-26 09:41:12,0,AKAMAI-AS,SG,16625,,2023-03-01 11:51:37.658733+08:00,SG,63fecbca713e42d63ee6aa81,87,0,0,0,0,0,0
56,104.69.45.249,2023-01-13 09:00:37,2023-01-13 09:00:32,0,AKAMAI-AS,SG,16625,,2023-03-01 11:51:37.658733+08:00,SG,63fecbca713e42d63ee6aa82,87,0,0,0,0,0,0
57,104.69.46.40,2023-01-15 09:00:28,2023-01-15 09:00:23,0,AKAMAI-AS,SG,16625,,2023-03-01 11:51:37.658733+08:00,SG,63fecbca713e42d63ee6aa83,87,0,0,0,0,0,0
58,104.69.96.220,,2023-01-13 15:22:21,0,AKAMAI-AS,SG,16625,,2023-03-01 11:51:37.658733+08:00,SG,63fecbca713e42d63ee6aa84,74,0,0,14,0,0,0
59,104.69.97.141,2021-01-21 04:24:52,,0,AKAMAI-AS,SG,16625,,2023-03-01 11:51:37.658733+08:00,SG,63fecbca713e42d63ee6aa85,87,0,0,0,0,0,0
60,104.70.101.54,2021-01-10 22:02:50,,0,AKAMAI-AS,SG,16625,,2023-03-01 11:51:37.658733+08:00,SG,63fecbca713e42d63ee6aa86,87,0,0,0,0,0,0
61,104.70.101.66,2021-01-10 21:24:05,2023-02-07 04:04:29,0,AKAMAI-AS,SG,16625,,2023-03-01 11:51:37.658733+08:00,SG,63fecbca713e42d63ee6aa87,87,0,0,0,0,0,0
62,104.70.102.14,,2023-02-07 04:12:48,0,AKAMAI-AS,SG,16625,,2023-03-01 11:51:37.658733+08:00,SG,63fecbca713e42d63ee6aa88,87,0,0,0,0,0,0
63,104.70.103.233,2020-10-04 01:46:28,,0,AKAMAI-AS,SG,16625,,2023-03-01 11:51:37.658733+08:00,SG,63fecbca713e42d63ee6aa89,87,0,0,0,0,0,0
64,104.83.196.24,,2023-01-18 11:35:46,0,AKAMAI-AS,SG,16625,,2023-03-01 11:51:37.658733+08:00,SG,63fecbca713e42d63ee6aa8a,78,0,0,10,0,0,0
65,104.83.197.140,2022-03-20 01:57:14,,0,AKAMAI-AS,SG,16625,,2023-03-01 11:51:37.658733+08:00,SG,63fecbca713e42d63ee6aa8b,79,0,0,9,0,0,0
66,104.88.70.26,2021-09-05 20:32:48,,0,Akamai International B.V.,SG,20940,,2023-03-01 11:51:37.658733+08:00,SG,63fecbca713e42d63ee6aa8c,87,0,0,0,0,0,0
67,104.89.118.22,,2023-02-20 21:42:18,0,AKAMAI-AS,SG,16625,,2023-03-01 11:51:37.658733+08:00,SG,63fecbca713e42d63ee6aa8d,87,0,0,0,0,0,0
68,104.89.122.4,,2023-01-08 11:38:29,0,AKAMAI-AS,SG,16625,,2023-03-01 11:51:37.658733+08:00,SG,63fecbca713e42d63ee6aa8e,87,0,0,0,0,0,0
69,106.10.186.200,2021-05-18 12:23:51,2023-01-16 09:32:12,0,internet content provider,SG,56173,,2023-03-01 11:51:37.658733+08:00,SG,63fecbca713e42d63ee6aa8f,87,0,0,0,0,0,0
70,106.10.236.40,2021-08-23 17:48:16,2023-02-08 21:06:02,0,internet content provider,SG,56173,,2023-03-01 11:51:37.658733+08:00,SG,63fecbca713e42d63ee6aa90,80,0,0,8,0,0,0
71,106.10.247.0,,2023-02-26 10:45:03,0,internet content provider,SG,56173,,2023-03-01 11:51:37.658733+08:00,SG,63fecbca713e42d63ee6aa91,74,0,0,14,0,0,0
72,107.155.23.10,2023-02-09 03:06:28,2023-02-23 15:45:38,0,ZEN-ECN,SG,21859,,2023-03-01 11:51:37.658733+08:00,SG,63fecbca713e42d63ee6aa92,79,0,0,9,0,0,0
73,111.223.64.18,2023-02-18 22:54:58,2023-02-28 02:53:40,0,StarHub Ltd,SG,4657,,2023-03-01 11:51:37.658733+08:00,SG,63fecbca713e42d63ee6aa93,80,0,0,8,0,0,0
74,111.223.64.40,2023-02-04 17:22:19,2023-02-27 21:49:23,0,StarHub Ltd,SG,4657,,2023-03-01 11:51:37.658733+08:00,SG,63fecbca713e42d63ee6aa94,87,0,0,0,0,0,0
75,111.223.64.41,2023-02-18 22:02:41,2023-02-27 21:23:36,0,StarHub Ltd,SG,4657,,2023-03-01 11:51:37.658733+08:00,SG,63fecbca713e42d63ee6aa95,87,0,0,0,0,0,0
76,111.223.64.48,2023-02-16 23:13:47,2023-02-18 23:41:14,0,StarHub Ltd,SG,4657,,2023-03-01 11:51:37.658733+08:00,SG,63fecbca713e42d63ee6aa96,80,0,0,8,0,0,0
77,111.223.64.51,2023-01-30 15:18:38,2023-02-27 00:57:47,0,StarHub Ltd,SG,4657,,2023-03-01 11:51:37.658733+08:00,SG,63fecbca713e42d63ee6aa97,80,0,0,8,0,0,0
78,111.223.64.57,2023-02-08 21:59:30,2023-02-27 21:49:21,0,StarHub Ltd,SG,4657,,2023-03-01 11:51:37.658733+08:00,SG,63fecbca713e42d63ee6aa98,80,0,0,8,0,0,0
79,111.223.64.64,2023-02-10 16:08:51,2023-02-27 21:49:22,0,StarHub Ltd,SG,4657,,2023-03-01 11:51:37.658733+08:00,SG,63fecbca713e42d63ee6aa99,87,0,0,0,0,0,0
80,111.223.64.67,2023-01-30 21:14:55,2023-02-20 12:27:16,0,StarHub Ltd,SG,4657,,2023-03-01 11:51:37.658733+08:00,SG,63fecbca713e42d63ee6aa9a,87,0,0,0,0,0,0
81,111.223.64.75,2023-02-07 11:22:18,2023-02-28 10:03:24,0,StarHub Ltd,SG,4657,,2023-03-01 11:51:37.658733+08:00,SG,63fecbca713e42d63ee6aa9b,73,0,0,15,0,0,0
82,111.223.64.82,2023-02-07 12:03:31,2023-02-28 12:15:14,0,StarHub Ltd,SG,4657,,2023-03-01 11:51:37.658733+08:00,SG,63fecbca713e42d63ee6aa9c,73,0,0,15,0,0,0
83,111.223.64.88,2023-02-16 15:22:23,2023-02-28 15:17:17,0,StarHub Ltd,SG,4657,,2023-03-01 11:51:37.658733+08:00,SG,63fecbca713e42d63ee6aa9d,87,0,0,0,0,0,0
84,111.223.64.89,2023-02-05 18:12:28,2023-02-28 15:28:55,0,StarHub Ltd,SG,4657,,2023-03-01 11:51:37.658733+08:00,SG,63fecbca713e42d63ee6aa9e,87,0,0,0,0,0,0
85,111.223.64.91,2023-02-08 16:43:57,2023-02-27 23:35:03,0,StarHub Ltd,SG,4657,,2023-03-01 11:51:37.658733+08:00,SG,63fecbca713e42d63ee6aa9f,87,0,0,0,0,0,0
86,114.119.180.179,2020-11-05 15:33:53,,0,HUAWEI CLOUDS,SG,136907,,2023-03-01 11:51:37.658733+08:00,SG,63fecbca713e42d63ee6aaa0,87,0,0,0,0,0,0
87,115.66.105.61,2021-04-27 20:51:11,,0,Singtel Fibre Broadband,SG,9506,,2023-03-01 11:51:37.658733+08:00,SG,63fecbca713e42d63ee6aaa1,87,0,0,0,0,0,0
88,116.0.81.226,2023-02-06 21:41:21,2023-02-28 09:28:01,0,"Zhejiang Taobao Network Co.,Ltd",HK,24429,,2023-03-01 11:51:37.658733+08:00,SG,63fecbca713e42d63ee6aaa2,78,0,0,10,0,0,0
89,116.0.81.227,2023-02-26 21:12:48,2023-02-27 22:03:37,0,"Zhejiang Taobao Network Co.,Ltd",HK,24429,,2023-03-01 11:51:37.658733+08:00,SG,63fecbca713e42d63ee6aaa3,79,0,0,9,0,0,0
90,116.14.138.181,2021-04-25 18:47:03,,0,Singtel Fibre Broadband,SG,9506,,2023-03-01 11:51:37.658733+08:00,SG,63fecbca713e42d63ee6aaa4,87,0,0,0,0,0,0
91,116.14.207.20,2021-04-21 16:57:59,,0,Singtel Fibre Broadband,SG,9506,,2023-03-01 11:51:37.658733+08:00,SG,63fecbca713e42d63ee6aaa5,87,0,0,0,0,0,0
92,116.14.234.24,2020-12-02 23:12:30,,0,Singtel Fibre Broadband,SG,9506,,2023-03-01 11:51:37.658733+08:00,SG,63fecbca713e42d63ee6aaa6,87,0,0,0,0,0,0
93,116.86.140.226,2021-02-27 11:48:39,2022-12-31 21:58:25,0,Starhub Ltd,SG,55430,,2023-03-01 11:51:37.658733+08:00,SG,63fecbca713e42d63ee6aaa7,87,0,0,0,0,0,0
94,116.87.131.164,,,0,Starhub Ltd,SG,55430,,2023-03-01 11:51:37.658733+08:00,SG,63fecbca713e42d63ee6aaa8,87,0,0,0,0,0,0
95,116.87.186.130,,,0,Starhub Ltd,SG,55430,,2023-03-01 11:51:37.658733+08:00,SG,63fecbca713e42d63ee6aaa9,87,0,0,0,0,0,0
96,116.87.189.216,2021-08-13 13:53:07,,0,Starhub Ltd,SG,55430,,2023-03-01 11:51:37.658733+08:00,SG,63fecbca713e42d63ee6aaaa,87,0,0,0,0,0,0
97,116.87.65.66,,,0,Starhub Ltd,SG,55430,,2023-03-01 11:51:37.658733+08:00,SG,63fecbca713e42d63ee6aaab,87,0,0,0,0,0,0
98,116.88.228.102,,2022-11-04 21:25:11,0,Starhub Ltd,SG,55430,,2023-03-01 11:51:37.658733+08:00,SG,63fecbca713e42d63ee6aaac,87,0,0,0,0,0,0
99,117.121.250.156,2021-08-26 12:45:57,2023-02-27 15:39:16,0,LLNW,SG,22822,,2023-03-01 11:51:37.658733+08:00,SG,63fecbca713e42d63ee6aaad,74,0,0,14,0,0,0
100,117.121.250.189,2021-09-12 20:07:26,2023-02-26 15:22:58,0,LLNW,SG,22822,,2023-03-01 11:51:37.658733+08:00,SG,63fecbcb713e42d63ee6aaae,79,0,0,9,0,0,0
101,118.200.43.119,2021-03-05 16:12:15,,0,Singtel Fibre Broadband,SG,9506,,2023-03-01 11:51:37.658733+08:00,SG,63fecbcb713e42d63ee6aaaf,87,0,0,0,0,0,0
102,118.215.84.97,2021-08-19 17:01:22,2023-02-18 21:42:54,0,StarHub Ltd,SG,4657,,2023-03-01 11:51:37.658733+08:00,SG,63fecbcb713e42d63ee6aab0,87,0,0,0,0,0,0
103,118.215.87.103,2021-08-21 12:01:05,2023-02-28 14:27:22,0,StarHub Ltd,SG,4657,,2023-03-01 11:51:37.658733+08:00,SG,63fecbcb713e42d63ee6aab1,80,0,0,8,0,0,0
104,119.13.160.160,,2023-02-26 18:53:35,0,HUAWEI CLOUDS,SG,136907,,2023-03-01 11:51:37.658733+08:00,SG,63fecbcb713e42d63ee6aab2,87,0,0,0,0,0,0
105,119.74.176.84,2021-04-25 19:06:59,,0,Singtel Fibre Broadband,SG,9506,,2023-03-01 11:51:37.658733+08:00,SG,63fecbcb713e42d63ee6aab3,87,0,0,0,0,0,0
106,119.81.220.166,2021-09-15 11:07:09,2023-02-13 11:18:59,0,SOFTLAYER,SG,36351,,2023-03-01 11:51:37.658733+08:00,SG,63fecbcb713e42d63ee6aab4,79,0,0,9,0,0,0
107,121.6.206.18,2021-04-22 06:29:13,2023-01-11 06:39:28,0,Singtel Fibre Broadband,SG,9506,,2023-03-01 11:51:37.658733+08:00,SG,63fecbcb713e42d63ee6aab5,87,0,0,0,0,0,0
108,121.6.48.26,,2022-12-15 03:01:39,0,Singtel Fibre Broadband,SG,9506,,2023-03-01 11:51:37.658733+08:00,SG,63fecbcb713e42d63ee6aab6,87,0,0,0,0,0,0
109,121.7.140.29,2021-04-25 16:59:03,2023-02-05 09:20:40,0,Singtel Fibre Broadband,SG,9506,,2023-03-01 11:51:37.658733+08:00,SG,63fecbcb713e42d63ee6aab7,87,0,0,0,0,0,0
110,121.7.52.95,2021-04-24 02:47:16,,0,Singtel Fibre Broadband,SG,9506,,2023-03-01 11:51:37.658733+08:00,SG,63fecbcb713e42d63ee6aab8,87,0,0,0,0,0,0
111,121.7.89.176,2021-04-25 01:28:54,,0,Singtel Fibre Broadband,SG,9506,,2023-03-01 11:51:37.658733+08:00,SG,63fecbcb713e42d63ee6aab9,87,0,0,0,0,0,0
112,122.11.128.50,2020-01-08 21:17:40,,0,StarHub Ltd,SG,4657,,2023-03-01 11:51:37.658733+08:00,SG,63fecbcb713e42d63ee6aaba,87,0,0,0,0,0,0
113,124.155.222.26,2023-01-29 20:40:44,2023-02-27 10:57:33,0,StarHub Ltd,SG,4657,,2023-03-01 11:51:37.658733+08:00,SG,63fecbcb713e42d63ee6aabb,87,0,0,0,0,0,0
114,124.155.222.40,2022-10-10 22:11:31,2022-10-10 22:10:25,0,StarHub Ltd,SG,4657,,2023-03-01 11:51:37.658733+08:00,SG,63fecbcb713e42d63ee6aabc,87,0,0,0,0,0,0
115,124.155.222.58,2023-02-06 10:31:38,2023-02-27 21:49:22,0,StarHub Ltd,SG,4657,,2023-03-01 11:51:37.658733+08:00,SG,63fecbcb713e42d63ee6aabd,80,0,0,8,0,0,0
116,125.252.228.22,2021-08-28 08:41:30,2023-02-28 20:09:34,0,StarHub Ltd,SG,4657,,2023-03-01 11:51:37.658733+08:00,SG,63fecbcb713e42d63ee6aabe,80,0,0,8,0,0,0
117,125.252.229.208,2021-08-30 12:01:19,2023-02-24 16:31:57,0,StarHub Ltd,SG,4657,,2023-03-01 11:51:37.658733+08:00,SG,63fecbcb713e42d63ee6aabf,74,0,0,14,0,0,0
118,125.252.229.70,2021-08-05 23:10:18,2023-01-29 23:04:54,0,StarHub Ltd,SG,4657,,2023-03-01 11:51:37.658733+08:00,SG,63fecbcb713e42d63ee6aac0,87,0,0,0,0,0,0
119,125.252.230.58,2021-08-21 18:21:45,2023-02-28 17:29:52,0,StarHub Ltd,SG,4657,,2023-03-01 11:51:37.658733+08:00,SG,63fecbcb713e42d63ee6aac1,80,0,0,8,0,0,0
120,125.56.199.16,,2023-02-27 16:02:51,0,Akamai International B.V.,SG,20940,,2023-03-01 11:51:37.658733+08:00,SG,63fecbcb713e42d63ee6aac2,78,0,0,10,0,0,0
121,125.56.199.17,,2023-02-24 21:44:20,0,Akamai International B.V.,SG,20940,,2023-03-01 11:51:37.658733+08:00,SG,63fecbcb713e42d63ee6aac3,79,0,0,9,0,0,0
122,125.56.199.40,,2023-02-19 00:57:13,0,Akamai International B.V.,SG,20940,,2023-03-01 11:51:37.658733+08:00,SG,63fecbcb713e42d63ee6aac4,80,0,0,8,0,0,0
123,125.56.199.43,2021-09-01 04:02:28,2023-02-27 10:02:30,0,Akamai International B.V.,SG,20940,,2023-03-01 11:51:37.658733+08:00,SG,63fecbcb713e42d63ee6aac5,80,0,0,8,0,0,0
124,125.56.199.9,2021-08-18 20:54:59,2023-02-27 21:40:38,0,Akamai International B.V.,SG,20940,,2023-03-01 11:51:37.658733+08:00,SG,63fecbcb713e42d63ee6aac6,81,0,0,7,0,0,0
125,125.56.199.98,2021-09-04 21:50:01,2023-02-27 00:33:37,0,Akamai International B.V.,SG,20940,,2023-03-01 11:51:37.658733+08:00,SG,63fecbcb713e42d63ee6aac7,87,0,0,0,0,0,0
126,129.126.76.222,2020-04-23 07:00:01,,0,M1 NET LTD,SG,17547,,2023-03-01 11:51:37.658733+08:00,SG,63fecbcb713e42d63ee6aac8,87,0,0,0,0,0,0
127,129.226.2.109,2023-02-23 14:06:13,2023-02-26 00:27:46,0,"Tencent Building, Kejizhongyi Avenue",SG,132203,,2023-03-01 11:51:37.658733+08:00,SG,63fecbcb713e42d63ee6aac9,73,0,0,15,0,0,0
